    7095       0.0004    1.0743    0.1186    0.0650    0.2137    0.1591    0.0630   -0.1452   -0.1158    0.1436   -0.0219    0.2787    0.1904    0.1278   -0.2307    0.1499    0.0041    0.4045   -0.3588    0.1398    0.0968    0.2950    0.1136   -0.1236    0.1292    0.1822   -0.1701    0.0621    0.3469    0.1909   -0.1292    0.3507    0.2070    0.0996
    7100      -0.0001    1.0887    0.0388    0.0193    0.1424    0.1733    0.1064    0.0092    0.0071    0.0334    0.0133    0.1080    0.1763   -0.0085   -0.0652    0.0152   -0.0287    0.2918   -0.1749   -0.0642    0.0424    0.1772   -0.0010    0.0607    0.0399    0.3233   -0.0682    0.0552    0.1141    0.3711   -0.0767    0.2778    0.0841    0.1484
    7102      -0.0030    1.0842    0.0425   -0.0155    0.3849    0.3059    0.1331   -0.1323    0.0769    0.0677    0.1686    0.2801    0.0933   -0.0055   -0.1330    0.0419    0.0076    0.3224   -0.1187   -0.0440    0.1543    0.1422    0.0376   -0.0507    0.1859    0.1646    0.0132    0.0028    0.1472    0.3123   -0.1616    0.1687    0.0865    0.0969
    7104      -0.0002    1.1795    0.0579    0.0583    0.3094    0.1388    0.0628   -0.0416    0.1146    0.0648    0.0673    0.1772    0.1629    0.1243   -0.0216    0.1532   -0.1124    0.3599   -0.1394   -0.0558    0.0969    0.1526    0.0837    0.0115    0.1448    0.1282   -0.0001   -0.0314    0.1746    0.4234   -0.0801    0.2191    0.1072    0.2992
    7106       0.0009    1.0278    0.1323    0.1531    0.3560    0.1826    0.0943    0.1663    0.0871    0.1141    0.2412    0.2171    0.1741    0.1048   -0.0587    0.1549    0.1508    0.5681   -0.0463   -0.0060    0.2630    0.3132    0.0375    0.1219    0.1173    0.2364    0.0590    0.0480    0.1147    0.3897   -0.0862    0.2615    0.1693    0.2902
    7108      -0.0005    1.1171    0.1617    0.0472    0.3746    0.2125    0.2642    0.2278    0.2472    0.2318    0.3014    0.2590    0.1395    0.1755    0.0874    0.1462    0.2466    0.4749    0.0383    0.0786    0.2901    0.3429    0.3288    0.2860    0.2004    0.3386    0.0938    0.1290    0.2452    0.5130   -0.0400    0.4046    0.1965    0.2976
    7110       0.0010    1.0137    0.0358   -0.1023    0.3470    0.3224    0.1464    0.2502    0.1692    0.2470    0.3332    0.2760    0.2642    0.1933    0.3048    0.2457    0.2024    0.6970    0.2286    0.1306    0.2001    0.3012    0.2895    0.1366    0.2013    0.3429    0.2473    0.1558    0.2630    0.6136    0.0406    0.4669    0.5765    0.3520
    7112       0.0006    0.9996    0.1117   -0.1706    0.5923    0.4270    0.4916    0.3916    0.3950    0.5266    0.6693    0.5137    0.5132    0.5471    0.5924    0.5710    0.6362    1.0516    0.5355    0.4509    0.4650    0.4289    0.3886    0.3980    0.4012    0.6421    0.5304    0.2796    0.5981    0.9814    0.3113    0.7580    0.7895    0.6409
    7114       0.0029    0.9131    0.0274   -0.2015    1.0094    0.8750    0.5458    0.6406    0.5742    0.6057    0.9868    0.7017    0.8794    0.8310    0.9058    0.6527    0.7435    1.1013    0.8445    0.7939    0.8551    0.6847    0.5801    0.5252    0.7061    0.9057    0.6423    0.6460    0.9875    1.2363    0.5151    0.9107    0.8426    0.9624
    7116       0.0013    0.8964    0.1611   -0.1009    0.9640    0.9748    0.8715    0.8412    0.6714    0.8760    1.1358    0.9083    0.9254    0.9079    0.8594    0.8328    0.9635    1.2687    0.9497    0.9977    0.9387    0.9594    0.7767    0.6635    0.9542    1.1155    0.8225    0.6963    0.9544    1.1867    0.6789    1.1895    0.9411    1.1964
    7118      -0.0005    0.9130    0.2564   -0.1346    1.1363    1.1064    0.9803    0.8473    0.8650    1.0440    1.0696    1.0959    1.2932    1.0669    0.8730    0.9829    1.0961    1.3416    1.0949    0.9246    0.9605    0.9952    0.8002    0.8527    1.0561    1.0731    1.0592    0.9520    1.0847    1.2307    0.8195    1.3787    1.1938    1.2330
    7120      -0.0007    0.8789    0.1089   -0.2762    1.1734    1.1350    0.9887    1.0368    0.9783    0.9830    1.0760    1.1219    1.2816    1.1438    1.0397    1.1345    1.0566    1.4321    1.2422    1.0142    1.0846    1.0400    0.9555    0.9358    1.0240    1.0494    1.1149    1.0700    1.1191    1.2817    0.9570    1.2296    1.3082    1.4082
    7122      -0.0000    0.8547    0.0555   -0.1907    1.1652    1.0631    1.0778    0.9255    0.9964    0.9483    1.0789    1.1923    1.2106    1.0781    1.0237    1.0919    1.1469    1.5006    1.1910    1.0325    1.0167    1.1971    1.0112    1.0007    0.9881    1.0275    1.0707    1.1033    1.1313    1.2162    0.9721    1.4085    1.3986    1.2953
    7124      -0.0018    0.7728    0.0348   -0.0510    1.1834    1.0941    1.0934    1.0503    1.1224    0.9451    1.0083    1.0816    1.1817    1.0469    1.0090    1.0775    1.1793    1.5775    1.2556    0.9686    1.0318    1.1887    1.0949    1.0416    1.0386    1.0404    1.0331    1.0753    1.1914    1.2738    0.9975    1.3649    1.3775    1.2644
    7126       0.0004    0.8095    0.1931   -0.0385    1.1476    1.0326    1.0422    1.0630    1.0724    0.9687    1.0744    1.0513    1.1342    1.1113    1.0677    0.8790    1.0335    1.4993    1.3148    1.0432    0.9060    1.2334    1.1597    1.0859    1.0294    1.0368    0.9630    1.1376    1.0958    1.2725    0.8714    1.3543    1.4240    1.2645
    7128       0.0037    1.0248    0.2249   -0.1976    1.5304    1.4158    1.2398    1.1231    1.1339    0.9860    1.2680    1.2122    1.2623    1.4347    1.0263    1.2737    1.4353    1.5599    1.4332    1.0119    1.3361    1.4903    1.4082    1.2909    1.4276    1.5650    1.2148    1.3598    1.4676    1.4005    1.0411    1.5281    1.5441    1.4387
    7133      -0.0010    0.8835    0.2137   -0.3098    1.6838    1.2760    1.1473    1.0779    1.2249    1.1811    1.6032    1.3175    1.4114    1.4964    0.9254    1.2209    1.3699    1.3686    1.3638    1.1760    1.4766    1.3483    1.2887    1.2508    1.3906    1.4796    1.1791    1.5185    1.5577    1.4774    1.1121    1.6977    1.4165    1.6087
